# Funções extraídas de libfs18.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
00000000003b10e0   | _ZNSt6__ndk112basic_stringIwNS_11char_traitsIwEENS_9allocatorIwEEE2atEm | std::__ndk1::basic_string<wchar_t, std::__ndk1::char_traits<wchar_t>, std::__ndk1::allocator<wchar_t> >::at(unsigned long)
000000000026169c   | _ZN13b2DynamicTree8FreeNodeEi            | b2DynamicTree::FreeNode(int)
0000000000288678   | _ZN7JNICall24callBoolFromStringIntrefEPKcS1_Rj | JNICall::callBoolFromStringIntref(char const*, char const*, unsigned int&)
00000000002a29c8   | _ZNK3Cki10SampleInfo5writeERNS_12BinaryStreamE | Cki::SampleInfo::write(Cki::BinaryStream&) const
00000000002ac528   | _ZN3Cki4ListINS_9DeletableELi0EE8addAfterEPS1_S3_ | Cki::List<Cki::Deletable, 0>::addAfter(Cki::Deletable*, Cki::Deletable*)
00000000002ae950   | _ZN3Cki4Path12setExtensionEPKc           | Cki::Path::setExtension(char const*)
00000000002ea560   | _ZN14LargeMapScreen15createBox_StateEPP8EmptyBox | LargeMapScreen::createBox_State(EmptyBox**)
00000000001f6ab0   | _ZN14TrafficVehicle26hasDynamicsDetailedOverlapEP7b2WorldRK6b2AABBPK7b2ShapePK11b2TransformPP6b2Bodyjj | TrafficVehicle::hasDynamicsDetailedOverlap(b2World*, b2AABB const&, b2Shape const*, b2Transform const*, b2Body**, unsigned int, unsigned int)
00000000001ce80c   | _ZN3Map18isFillTypeAcceptedEP7TipSiteP10GameEntity | Map::isFillTypeAccepted(TipSite*, GameEntity*)
00000000002817b8   | _ZN30AndroidHandheldBluetoothServerD1Ev  | AndroidHandheldBluetoothServer::~AndroidHandheldBluetoothServer()
00000000002a2f1c   | _ZNK3Cki4ListINS_12SharedBufferELi0EE7getSizeEv | Cki::List<Cki::SharedBuffer, 0>::getSize() const
00000000002c725c   | _ZN9MenuSound4stopEv                     | MenuSound::stop()
00000000001e09c8   | _ZN8PolyLineC1Ev                         | PolyLine::PolyLine()
00000000003ad400   | _ZNSt13runtime_errorC2ERKS_              | std::runtime_error::runtime_error(std::runtime_error const&)
00000000002f20c8   | _ZN16InteractiveImage22setSingleClickCallbackEjjj | InteractiveImage::setSingleClickCallback(unsigned int, unsigned int, unsigned int)
00000000002f2ae4   | _ZN6MapDot18setWarningIconTypeEN7Adapter16eWarningIconTypeE | MapDot::setWarningIconType(Adapter::eWarningIconType)
00000000001f7098   | _ZN20TrafficVehicleSystem4loadERK24TrafficVehicleSystemDescP3MapP10Renderer3DP7b2WorldP13EntityManager | TrafficVehicleSystem::load(TrafficVehicleSystemDesc const&, Map*, Renderer3D*, b2World*, EntityManager*)
00000000003008bc   | _ZN14ShopScreenBase19closeBuyCoinsWindowEv | ShopScreenBase::closeBuyCoinsWindow()
00000000002f73d8   | _ZN13OptionsScreenD2Ev                   | OptionsScreen::~OptionsScreen()
000000000038f37c   | _ZNSt6__ndk121__throw_runtime_errorEPKc  | std::__ndk1::__throw_runtime_error(char const*)
0000000000253e6c   | _ZN19GameStateChooseMode12onStateStartEN10IGameState10eGameStateE | GameStateChooseMode::onStateStart(IGameState::eGameState)
000000000028a600   | _ZN7CkSound21set3dListenerPositionEfffffffff | CkSound::set3dListenerPosition(float, float, float, float, float, float, float, float, float)
00000000003cf548   | _ZNSt13runtime_errorD1Ev                 | std::runtime_error::~runtime_error()
00000000001f3d74   | _ZN4Tool24enqueueRenderTransparentEP24GLESHandheldRenderDevice | Tool::enqueueRenderTransparent(GLESHandheldRenderDevice*)
00000000003126d8   | _ZNSt6__ndk113basic_filebufIcNS_11char_traitsIcEEEC2Ev | std::__ndk1::basic_filebuf<char, std::__ndk1::char_traits<char> >::basic_filebuf()
00000000002810b8   | _ZN21GenericHandheldServer14pauseAcceptingEv | GenericHandheldServer::pauseAccepting()
0000000000282d80   | _ZN27AndroidHandheldSystemDevice11requestExitEv | AndroidHandheldSystemDevice::requestExit()
00000000002a5fd4   | _ZN3Cki8TreeNodeINS_5MixerEED2Ev         | Cki::TreeNode<Cki::Mixer>::~TreeNode()
00000000002c0fd8   | android_getCpuFeatures                   | android_getCpuFeatures
00000000002c1838   | _ZN7Adapter12getBoolValueENS_12eBOOL_VALUESE | Adapter::getBoolValue(Adapter::eBOOL_VALUES)
000000000024e220   | _ZN13GameStateBase18showIntroTutorialsEv | GameStateBase::showIntroTutorials()
00000000002d8c14   | _ZN11RangeButtonC1Ejjiiii10eAlignmentS0_ | RangeButton::RangeButton(unsigned int, unsigned int, int, int, int, int, eAlignment, eAlignment)
0000000000320cb0   | _ZN9dtNavMesh22connectExtOffMeshLinksEP10dtMeshTileS1_i | dtNavMesh::connectExtOffMeshLinks(dtMeshTile*, dtMeshTile*, int)
0000000000233f30   | _ZN19GameStateAnimalShopC2EP7AdapterP11DialogStackP8SettingsP17GameSetupSettingsP19InGameMessageSystem | GameStateAnimalShop::GameStateAnimalShop(Adapter*, DialogStack*, Settings*, GameSetupSettings*, InGameMessageSystem*)
00000000002608fc   | _ZN6b2Body19SynchronizeFixturesEv        | b2Body::SynchronizeFixtures()
000000000031605c   | _ZNSt6__ndk16vectorINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEENS4_IS6_EEE21__push_back_slow_pathIRKS6_EEvOT_ | void std::__ndk1::vector<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >, std::__ndk1::allocator<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > > >::__push_back_slow_path<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&>(std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&)
0000000000320a08   | _ZNK9dtNavMesh10getTileRefEPK10dtMeshTile | dtNavMesh::getTileRef(dtMeshTile const*) const
000000000039b0c0   | _ZNSt6__ndk16localeC1Ev                  | std::__ndk1::locale::locale()
000000000029ad54   | _ZN3Cki6Effect9newEffectE12CkEffectType  | Cki::Effect::newEffect(CkEffectType)
00000000002aa578   | _ZN3Cki9WavWriterC2EPKciib               | Cki::WavWriter::WavWriter(char const*, int, int, bool)
00000000002f0a6c   | _ZN14LargeMapScreen22getSingleClickPositionERfS0_ | LargeMapScreen::getSingleClickPosition(float&, float&)
0000000000261384   | _ZN12b2BroadPhase10TouchProxyEi          | b2BroadPhase::TouchProxy(int)
000000000029b8ec   | _ZN17CkEffectProcessorD0Ev               | CkEffectProcessor::~CkEffectProcessor()
00000000002a530c   | _ZN3Cki5Sound16set3dAttenuationE17CkAttenuationModefff | Cki::Sound::set3dAttenuation(CkAttenuationMode, float, float, float)
00000000002a8bac   | _ZN3Cki4ListINS_12StreamSourceELi0EED2Ev | Cki::List<Cki::StreamSource, 0>::~List()
00000000003b8a18   | _ZSt13get_terminatev                     | std::get_terminate()
00000000002add94   | CK_malloc                                | CK_malloc
00000000002bdcb0   | ogg_page_continued                       | ogg_page_continued
000000000035cac8   | png_set_benign_errors                    | png_set_benign_errors
00000000001db818   | _ZN14ParticleSystem24enqueueRenderTransparentEv | ParticleSystem::enqueueRenderTransparent()
00000000001e2eec   | _ZN8SettingsC2ERKS_                      | Settings::Settings(Settings const&)
0000000000273a90   | _ZNK12b2WheelJoint17GetReactionTorqueEf  | b2WheelJoint::GetReactionTorque(float) const
00000000002b2f70   | ov_open                                  | ov_open
0000000000376c84   | _ZNSt6__ndk113basic_ostreamIcNS_11char_traitsIcEEED2Ev | std::__ndk1::basic_ostream<char, std::__ndk1::char_traits<char> >::~basic_ostream()
000000000038dba8   | _ZNKSt6__ndk117moneypunct_bynameIcLb0EE13do_neg_formatEv | std::__ndk1::moneypunct_byname<char, false>::do_neg_format() const
000000000027c358   | _ZN17CricketCustomFileD2Ev               | CricketCustomFile::~CricketCustomFile()
00000000002a77d4   | _ZN3Cki9SoundNameC2ERKS0_                | Cki::SoundName::SoundName(Cki::SoundName const&)
00000000003057c8   | _ZN11BitmapImage10scaleImageEjj          | BitmapImage::scaleImage(unsigned int, unsigned int)
